TYPE	RVA	ADDRESS	NAME	PRIORITY	SIGNATURE
STRING,API,NAME	0x1A74D0	1801a74d0	Unload	215	void Unload(Resource * this)
STRING,API	0x205AA0	180205aa0	FUN_180205aa0	160	ulonglong FUN_180205aa0(longlong param_1, FILE * param_2, FILE * param_3, longlong * param_4)
STRING,NAME	0x1A6DF0	1801a6df0	__LoadClientScripts	155	void __LoadClientScripts(Resource * param_1)
STRING,NAME	0x1A7270	1801a7270	Load	155	void Load(Resource * this)
STRING,NAME	0x1A5FB0	1801a5fb0	Resource	140	undefined Resource(Resource * this, basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1, path * param_2)
API,NAME	0x23F480	18023f480	__std_fs_get_final_path_name_by_handle	120	undefined8 __std_fs_get_final_path_name_by_handle(HANDLE param_1, LPWSTR param_2, DWORD param_3, DWORD param_4)
STRING	0x7C70	180007c70	FUN_180007c70	100	undefined8 FUN_180007c70(longlong param_1, int param_2, longlong * param_3, longlong * param_4)
STRING	0x13460	180013460	FUN_180013460	100	byte * FUN_180013460(byte * param_1, longlong param_2, longlong param_3)
STRING	0x20CC0	180020cc0	FUN_180020cc0	100	undefined FUN_180020cc0(undefined8 param_1, longlong param_2)
STRING	0x21540	180021540	FUN_180021540	100	undefined FUN_180021540(undefined8 param_1, longlong param_2)
STRING	0x23460	180023460	FUN_180023460	100	undefined FUN_180023460(undefined8 param_1, longlong param_2)
STRING	0x1E1B70	1801e1b70	FUN_1801e1b70	100	undefined8 * * * * * * * FUN_1801e1b70(undefined8 * * * * * * * param_1, undefined8 * * * * * param_2, byte * param_3, longlong * param_4, longlong * param_5, longlong param_6, char param_7)
STRING	0x1F3000	1801f3000	FUN_1801f3000	100	undefined4 * FUN_1801f3000(undefined4 * param_1, undefined4 * param_2)
STRING	0x1F3250	1801f3250	FUN_1801f3250	100	longlong * FUN_1801f3250(longlong * param_1, undefined8 param_2, undefined1 * param_3)
STRING	0x1F3D80	1801f3d80	FUN_1801f3d80	100	longlong * FUN_1801f3d80(longlong * param_1, char * param_2, char * param_3)
STRING	0x1F3F20	1801f3f20	FUN_1801f3f20	100	longlong * FUN_1801f3f20(longlong * param_1, undefined8 param_2, char * param_3)
STRING	0x204AE0	180204ae0	FUN_180204ae0	100	undefined8 FUN_180204ae0(longlong param_1, longlong param_2, undefined8 param_3, undefined8 param_4)
STRING	0x206530	180206530	FUN_180206530	100	undefined FUN_180206530(longlong param_1, char * param_2, undefined8 param_3)
STRING	0x2099D0	1802099d0	FUN_1802099d0	100	longlong FUN_1802099d0(longlong param_1, undefined8 param_2, ulonglong * param_3, longlong * param_4)
STRING	0x209BA0	180209ba0	FUN_180209ba0	100	undefined FUN_180209ba0(longlong param_1, undefined8 param_2, undefined8 param_3, undefined8 param_4)
STRING	0x21CA50	18021ca50	FUN_18021ca50	100	undefined FUN_18021ca50(longlong param_1, undefined8 * param_2)
STRING	0x22AD00	18022ad00	FUN_18022ad00	100	undefined FUN_18022ad00(uint * param_1, undefined8 param_2, uint * param_3, uint * param_4)
STRING	0x22F9A0	18022f9a0	FUN_18022f9a0	100	undefined8 FUN_18022f9a0(longlong * param_1, char * param_2, basic_ostream<char,std::char_traits<char>_> * param_3)
API,NAME	0x23F4B0	18023f4b0	__std_fs_open_handle	100	DWORD __std_fs_open_handle(undefined8 * param_1, LPCWSTR param_2, DWORD param_3, DWORD param_4)
STRING	0x251A02	180251a02	FUN_180251a02	100	undefined8 FUN_180251a02(void)
API	0x225A0	1800225a0	FUN_1800225a0	60	undefined8 FUN_1800225a0(longlong param_1)
API	0x1B6E70	1801b6e70	FUN_1801b6e70	60	basic_ostream<char,std::char_traits<char>_> * FUN_1801b6e70(basic_ostream<char,std::char_traits<char>_> * param_1, char param_2)
API	0x1B7040	1801b7040	FUN_1801b7040	60	basic_ostream<char,std::char_traits<char>_> * FUN_1801b7040(basic_ostream<char,std::char_traits<char>_> * param_1, char * param_2)
API	0x1DD670	1801dd670	FUN_1801dd670	60	basic_ostream<char,std::char_traits<char>_> * FUN_1801dd670(basic_ostream<char,std::char_traits<char>_> * param_1, char * param_2, ulonglong param_3)
API	0x22F660	18022f660	FUN_18022f660	60	undefined8 FUN_18022f660(longlong param_1, byte * param_2, undefined8 param_3, undefined8 param_4)
