TYPE	RVA	ADDRESS	NAME	PRIORITY	SIGNATURE
STRING,API	0x2F50	180002f50	FUN_180002f50	160	undefined FUN_180002f50(void)
STRING,API	0x5AD0	180005ad0	FUN_180005ad0	160	undefined FUN_180005ad0(longlong * param_1, undefined8 param_2, undefined8 param_3, scoped_refptr<CefListValue> * param_4)
STRING,API	0x69F0	1800069f0	FUN_1800069f0	160	undefined FUN_1800069f0(undefined8 * param_1)
STRING,API	0xF310	18000f310	FUN_18000f310	160	wchar_t * FUN_18000f310(wchar_t * param_1, wchar_t * param_2)
STRING,API	0x55D90	180055d90	FUN_180055d90	160	undefined FUN_180055d90(undefined8 * param_1, longlong * param_2)
STRING,API	0x58880	180058880	FUN_180058880	160	undefined8 FUN_180058880(longlong param_1)
STRING	0x1A80	180001a80	FUN_180001a80	100	undefined FUN_180001a80(void)
STRING	0x2CA0	180002ca0	FUN_180002ca0	100	undefined FUN_180002ca0(void)
STRING	0x15190	180015190	FUN_180015190	100	undefined1 * FUN_180015190(undefined1 * param_1, undefined8 * * * * param_2, undefined8 * * * * * * param_3, undefined8 * * * * * * param_4, undefined8 * * * * * * param_5, undefined * * * param_6, char param_7)
STRING	0x399F0	1800399f0	FUN_1800399f0	100	longlong * FUN_1800399f0(longlong * param_1, undefined8 param_2, char * param_3)
STRING	0x39CD0	180039cd0	FUN_180039cd0	100	longlong * FUN_180039cd0(longlong * param_1, char * param_2, char * param_3)
STRING	0x3A790	18003a790	FUN_18003a790	100	longlong * FUN_18003a790(longlong * param_1, undefined8 param_2, undefined1 * param_3)
STRING	0x3AC80	18003ac80	FUN_18003ac80	100	undefined4 * FUN_18003ac80(undefined4 * param_1, undefined4 * param_2)
STRING	0x40090	180040090	FUN_180040090	100	byte * FUN_180040090(byte * param_1, longlong param_2, longlong param_3)
STRING	0x59FD0	180059fd0	FUN_180059fd0	100	undefined * * * FUN_180059fd0(undefined * * * param_1)
STRING	0x5D410	18005d410	FUN_18005d410	100	undefined FUN_18005d410(longlong * param_1, undefined8 param_2, undefined8 param_3, ulonglong param_4)
STRING	0x62F90	180062f90	FUN_180062f90	100	undefined FUN_180062f90(longlong param_1, longlong * param_2, longlong param_3, ulonglong param_4)
STRING	0xB8AF0	1800b8af0	FUN_1800b8af0	100	undefined FUN_1800b8af0(char * param_1, char * param_2, float * param_3, double param_4)
STRING	0xBC420	1800bc420	FUN_1800bc420	100	undefined FUN_1800bc420(void)
STRING	0xC37D0	1800c37d0	FUN_1800c37d0	100	undefined FUN_1800c37d0(uint param_1, byte param_2, undefined8 param_3, ulonglong param_4)
API,NAME	0xF3620	1800f3620	__std_fs_open_handle	100	DWORD __std_fs_open_handle(undefined8 * param_1, LPCWSTR param_2, DWORD param_3, DWORD param_4)
API	0x1520	180001520	FUN_180001520	60	undefined FUN_180001520(longlong * param_1)
API	0x1740	180001740	FUN_180001740	60	undefined FUN_180001740(longlong * param_1)
API	0x19B0	1800019b0	FUN_1800019b0	60	undefined FUN_1800019b0(longlong * param_1)
API	0x22D0	1800022d0	FUN_1800022d0	60	undefined FUN_1800022d0(void)
