ADDRESS	NAME	NAMESPACE	SIZE	THUNK	EXTERNAL
180001030	FUN_180001030	Global	0x1ca	false	false
180001200	FUN_180001200	Global	0x237	false	false
180001440	FUN_180001440	Global	0x16b	false	false
1800015c0	FUN_1800015c0	Global	0x33	false	false
180001620	FUN_180001620	Global	0x13	false	false
180001640	FUN_180001640	Global	0x43	false	false
180001690	FUN_180001690	Global	0x21	false	false
1800016c0	FUN_1800016c0	Global	0x1f	false	false
1800016e0	FUN_1800016e0	Global	0x3d	false	false
180001720	FUN_180001720	Global	0x3d	false	false
180001760	FUN_180001760	Global	0x3	false	false
180001770	Singleton<Scripting::ClientEventsHandler>	Singleton<Scripting::ClientEventsHandler>	0x4	false	false
180001780	~Singleton<Scripting::ClientEventsHandler>	Singleton<Scripting::ClientEventsHandler>	0x3	false	false
180001790	ClientEventsHandler	Scripting::ClientEventsHandler	0x17	false	false
1800017b0	FUN_1800017b0	Global	0x14f	false	false
180001900	~ClientEventsHandler	Scripting::ClientEventsHandler	0x5	false	false
180001910	FUN_180001910	Global	0x73	false	false
180001990	__autoclassinit2	Scripting::ClientEventsHandler	0xa	false	false
1800019a0	Get	Singleton<Scripting::ClientEventsHandler>	0x132	false	false
180001ae0	FID_conflict:~vector<CHN*___ptr64,std::allocator<CHN*___ptr64>_>	Global	0x5b	false	false
180001b40	FUN_180001b40	Global	0x23	false	false
180001b70	FUN_180001b70	Global	0x5e	false	false
180001bd0	FUN_180001bd0	Global	0x168	false	false
180001d40	FUN_180001d40	Global	0x12	false	false
180001d60	FUN_180001d60	Global	0x9	false	false
180001d70	FUN_180001d70	Global	0x2b	false	false
180001da0	FUN_180001da0	Global	0x8	false	false
180001db0	FUN_180001db0	Global	0x5c	false	false
180001e10	FUN_180001e10	Global	0x12	false	false
180001e30	FUN_180001e30	Global	0x6e	false	false
180001ea0	FUN_180001ea0	Global	0x68	false	false
180001f10	FUN_180001f10	Global	0x3d	false	false
180001f50	FUN_180001f50	Global	0xb	false	false
180001f60	FUN_180001f60	Global	0x3f	false	false
180001fa0	FUN_180001fa0	Global	0x19	false	false
180001fc0	FUN_180001fc0	Global	0x15	false	false
180001fe0	FUN_180001fe0	Global	0x15	false	false
180002000	FUN_180002000	Global	0x1e1	false	false
1800021f0	FUN_1800021f0	Global	0x43	false	false
180002240	FUN_180002240	Global	0xe8	false	false
180002330	FUN_180002330	Global	0x36	false	false
180002370	FUN_180002370	Global	0x58	false	false
1800023d0	FUN_1800023d0	Global	0x4e	false	false
180002430	FUN_180002430	Global	0x8	false	false
180002440	FUN_180002440	Global	0x4e	false	false
180002490	FUN_180002490	Global	0x21	false	false
1800024c0	FUN_1800024c0	Global	0x8	false	false
1800024d0	FUN_1800024d0	Global	0x72	false	false
