TYPE	RVA	ADDRESS	NAME	PRIORITY	SIGNATURE
STRING,NAME	0x189C0	1800189c0	LoadData	155	bool LoadData(Config * this, basic_value<toml::discard_comments,std::unordered_map,std::vector> * param_1)
STRING	0xB160	18000b160	FUN_18000b160	100	byte * FUN_18000b160(byte * param_1, longlong param_2, longlong param_3)
STRING	0x29D50	180029d50	FUN_180029d50	100	undefined FUN_180029d50(void)
STRING	0x38500	180038500	FUN_180038500	100	undefined1 * FUN_180038500(undefined1 * param_1, undefined8 * * * * param_2, char * param_3, longlong * param_4, longlong * param_5, undefined * * * param_6, char param_7)
STRING	0x46A30	180046a30	FUN_180046a30	100	undefined4 * FUN_180046a30(undefined4 * param_1, undefined4 * param_2)
STRING	0x46D10	180046d10	FUN_180046d10	100	longlong * FUN_180046d10(longlong * param_1, undefined8 param_2, undefined1 * param_3)
STRING	0x47CD0	180047cd0	FUN_180047cd0	100	longlong * FUN_180047cd0(longlong * param_1, char * param_2, char * param_3)
STRING	0x47F00	180047f00	FUN_180047f00	100	longlong * FUN_180047f00(longlong * param_1, undefined8 param_2, char * param_3)
STRING	0x4EC90	18004ec90	FUN_18004ec90	100	undefined1 * FUN_18004ec90(undefined1 * param_1, undefined8 * * * param_2, undefined8 * * * * * param_3, undefined8 * * * * * param_4, undefined8 * * * * * param_5, undefined * * * param_6, char param_7)
STRING	0x5E690	18005e690	Clear	100	void Clear(ThreadsPool * this)
API,NAME	0x6D3E8	18006d3e8	__std_fs_open_handle	100	DWORD __std_fs_open_handle(undefined8 * param_1, LPCWSTR param_2, DWORD param_3, DWORD param_4)
API	0x186F0	1800186f0	Initialize	60	void Initialize(Config * this, path * param_1)
API	0x18BE0	180018be0	SetValue	60	void SetValue(Config * this, basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1, basic_value<toml::discard_comments,std::unordered_map,std::vector> * param_2)
API	0x19050	180019050	SetCEFKeyValuePair	60	void SetCEFKeyValuePair(Config * this, scoped_refptr<CefListValue> * param_1)
API	0x26900	180026900	FUN_180026900	60	basic_ostream<char,std::char_traits<char>_> * FUN_180026900(basic_ostream<char,std::char_traits<char>_> * param_1, char * param_2)
API	0x26BF0	180026bf0	FUN_180026bf0	60	basic_ostream<char,std::char_traits<char>_> * FUN_180026bf0(basic_ostream<char,std::char_traits<char>_> * param_1, char param_2)
API	0x29C20	180029c20	FUN_180029c20	60	basic_ostream<char,std::char_traits<char>_> * FUN_180029c20(basic_ostream<char,std::char_traits<char>_> * param_1, wchar_t * param_2)
API	0x32E80	180032e80	FUN_180032e80	60	basic_streambuf<char,std::char_traits<char>_> * FUN_180032e80(basic_streambuf<char,std::char_traits<char>_> * param_1, wchar_t * param_2, int param_3)
API	0x34840	180034840	FUN_180034840	60	basic_ostream<char,std::char_traits<char>_> * FUN_180034840(basic_ostream<char,std::char_traits<char>_> * param_1, char * param_2, ulonglong param_3)
API	0x3A240	18003a240	FUN_18003a240	60	basic_istream<char,std::char_traits<char>_> * FUN_18003a240(basic_istream<char,std::char_traits<char>_> * param_1, wchar_t * param_2)
API	0x5BF60	18005bf60	FUN_18005bf60	60	uint * FUN_18005bf60(uint * param_1)
API	0x5C160	18005c160	Print	60	void Print(LogType param_1, char * param_2, char * param_3, ...)
API	0x5E3E0	18005e3e0	~Thread	60	void ~Thread(Thread * this)
API	0x5F700	18005f700	FUN_18005f700	60	undefined FUN_18005f700(longlong param_1)
API	0x5F740	18005f740	FUN_18005f740	60	undefined FUN_18005f740(undefined8 * param_1)
API	0x6CE10	18006ce10	__std_fs_convert_narrow_to_wide	60	undefined8 __std_fs_convert_narrow_to_wide(UINT param_1, LPCSTR param_2, int param_3, LPWSTR param_4, int param_5)
API	0x6CE58	18006ce58	__std_fs_convert_wide_to_narrow	60	undefined8 __std_fs_convert_wide_to_narrow(UINT param_1, LPCWSTR param_2, int param_3, LPSTR param_4, int param_5)
API	0x6CF7C	18006cf7c	FUN_18006cf7c	60	undefined8 FUN_18006cf7c(UINT param_1, LPCWSTR param_2, int param_3, LPSTR param_4, int param_5)
API	0x6D0C0	18006d0c0	FUN_18006d0c0	60	DWORD FUN_18006d0c0(LPCWSTR param_1, ulonglong * param_2, uint param_3, uint param_4)
API	0x72648	180072648	FUN_180072648	60	undefined8 FUN_180072648(undefined8 param_1, longlong param_2)
API	0x726A8	1800726a8	FUN_1800726a8	60	undefined8 FUN_1800726a8(undefined8 param_1, longlong param_2)
CONTEXT	unknown	EXTERNAL:00000005	CreateFileW	15	HANDLE CreateFileW(LPCWSTR lpFileName, DWORD dwDesiredAccess, DWORD dwShareMode, LPSECURITY_ATTRIBUTES lpSecurityAttributes, DWORD dwCreationDisposition, DWORD dwFlagsAndAttributes, HANDLE hTemplateFile)
CONTEXT	unknown	EXTERNAL:0000000d	GetModuleFileNameA	15	DWORD GetModuleFileNameA(HMODULE hModule, LPSTR lpFilename, DWORD nSize)
CONTEXT	unknown	EXTERNAL:00000027	GetFileInformationByHandleEx	15	BOOL GetFileInformationByHandleEx(HANDLE hFile, FILE_INFO_BY_HANDLE_CLASS FileInformationClass, LPVOID lpFileInformation, DWORD dwBufferSize)
CONTEXT	unknown	EXTERNAL:00000029	GetFileAttributesExW	15	BOOL GetFileAttributesExW(LPCWSTR lpFileName, GET_FILEEX_INFO_LEVELS fInfoLevelId, LPVOID lpFileInformation)
CONTEXT	unknown	EXTERNAL:0000002a	FindFirstFileW	15	HANDLE FindFirstFileW(LPCWSTR lpFileName, LPWIN32_FIND_DATAW lpFindFileData)
CONTEXT	unknown	EXTERNAL:00000003	cef_string_utf16_clear	0	undefined cef_string_utf16_clear(void)
CONTEXT	unknown	EXTERNAL:00000004	FindClose	0	BOOL FindClose(HANDLE hFindFile)
CONTEXT	unknown	EXTERNAL:0000000e	WaitForSingleObject	0	DWORD WaitForSingleObject(HANDLE hHandle, DWORD dwMilliseconds)
CONTEXT	unknown	EXTERNAL:0000000f	CloseHandle	0	BOOL CloseHandle(HANDLE hObject)
CONTEXT	unknown	EXTERNAL:00000011	GetLastError	0	DWORD GetLastError(void)
CONTEXT	unknown	EXTERNAL:00000025	WideCharToMultiByte	0	int WideCharToMultiByte(UINT CodePage, DWORD dwFlags, LPCWSTR lpWideCharStr, int cchWideChar, LPSTR lpMultiByteStr, int cbMultiByte, LPCSTR lpDefaultChar, LPBOOL lpUsedDefaultChar)
CONTEXT	unknown	EXTERNAL:00000026	MultiByteToWideChar	0	int MultiByteToWideChar(UINT CodePage, DWORD dwFlags, LPCSTR lpMultiByteStr, int cbMultiByte, LPWSTR lpWideCharStr, int cchWideChar)
CONTEXT	unknown	EXTERNAL:0000002e	setstate	0	void setstate(basic_ios<char,std::char_traits<char>_> * this, int param_1, bool param_2)
CONTEXT	unknown	EXTERNAL:0000002f	basic_ios<char,std::char_traits<char>_>	0	undefined basic_ios<char,std::char_traits<char>_>(basic_ios<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000030	basic_ostream<char,std::char_traits<char>_>	0	undefined basic_ostream<char,std::char_traits<char>_>(basic_ostream<char,std::char_traits<char>_> * this, basic_streambuf<char,std::char_traits<char>_> * param_1, bool param_2)
CONTEXT	unknown	EXTERNAL:00000031	basic_istream<char,std::char_traits<char>_>	0	undefined basic_istream<char,std::char_traits<char>_>(basic_istream<char,std::char_traits<char>_> * this, basic_streambuf<char,std::char_traits<char>_> * param_1, bool param_2)
