STATUS	RVA	ADDRESS	NAME	PRIORITY	SEED_TYPE	ERROR
OK	0x189C0	1800189c0	LoadData	155	STRING,NAME	
OK	0xB160	18000b160	FUN_18000b160	100	STRING	
OK	0x29D50	180029d50	FUN_180029d50	100	STRING	
OK	0x38500	180038500	FUN_180038500	100	STRING	
OK	0x46A30	180046a30	FUN_180046a30	100	STRING	
OK	0x46D10	180046d10	FUN_180046d10	100	STRING	
OK	0x47CD0	180047cd0	FUN_180047cd0	100	STRING	
OK	0x47F00	180047f00	FUN_180047f00	100	STRING	
OK	0x4EC90	18004ec90	FUN_18004ec90	100	STRING	
OK	0x5E690	18005e690	Clear	100	STRING	
OK	0x6D3E8	18006d3e8	__std_fs_open_handle	100	API,NAME	
OK	0x186F0	1800186f0	Initialize	60	API	
OK	0x18BE0	180018be0	SetValue	60	API	
OK	0x19050	180019050	SetCEFKeyValuePair	60	API	
OK	0x26900	180026900	FUN_180026900	60	API	
OK	0x26BF0	180026bf0	FUN_180026bf0	60	API	
OK	0x29C20	180029c20	FUN_180029c20	60	API	
OK	0x32E80	180032e80	FUN_180032e80	60	API	
OK	0x34840	180034840	FUN_180034840	60	API	
OK	0x3A240	18003a240	FUN_18003a240	60	API	
OK	0x5BF60	18005bf60	FUN_18005bf60	60	API	
OK	0x5C160	18005c160	Print	60	API	
OK	0x5E3E0	18005e3e0	~Thread	60	API	
OK	0x5F700	18005f700	FUN_18005f700	60	API	
OK	0x5F740	18005f740	FUN_18005f740	60	API	
OK	0x6CE10	18006ce10	__std_fs_convert_narrow_to_wide	60	API	
OK	0x6CE58	18006ce58	__std_fs_convert_wide_to_narrow	60	API	
OK	0x6CF7C	18006cf7c	FUN_18006cf7c	60	API	
OK	0x6D0C0	18006d0c0	FUN_18006d0c0	60	API	
OK	0x72648	180072648	FUN_180072648	60	API	
OK	0x726A8	1800726a8	FUN_1800726a8	60	API	
FAILED	unknown	EXTERNAL:00000005	CreateFileW	15	CONTEXT	Exception while decompiling EXTERNAL:00000005: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000d	GetModuleFileNameA	15	CONTEXT	Exception while decompiling EXTERNAL:0000000d: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000027	GetFileInformationByHandleEx	15	CONTEXT	Exception while decompiling EXTERNAL:00000027: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000029	GetFileAttributesExW	15	CONTEXT	Exception while decompiling EXTERNAL:00000029: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000002a	FindFirstFileW	15	CONTEXT	Exception while decompiling EXTERNAL:0000002a: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000003	cef_string_utf16_clear	0	CONTEXT	Exception while decompiling EXTERNAL:00000003: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000004	FindClose	0	CONTEXT	Exception while decompiling EXTERNAL:00000004: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000e	WaitForSingleObject	0	CONTEXT	Exception while decompiling EXTERNAL:0000000e: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000f	CloseHandle	0	CONTEXT	Exception while decompiling EXTERNAL:0000000f: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000011	GetLastError	0	CONTEXT	Exception while decompiling EXTERNAL:00000011: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000025	WideCharToMultiByte	0	CONTEXT	Exception while decompiling EXTERNAL:00000025: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000026	MultiByteToWideChar	0	CONTEXT	Exception while decompiling EXTERNAL:00000026: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000002e	setstate	0	CONTEXT	Exception while decompiling EXTERNAL:0000002e: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000002f	basic_ios<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:0000002f: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000030	basic_ostream<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:00000030: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000031	basic_istream<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:00000031: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000003b	~basic_ios<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:0000003b: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000003c	~basic_ostream<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:0000003c: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000003d	operator<<	0	CONTEXT	Exception while decompiling EXTERNAL:0000003d: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000003e	operator<<	0	CONTEXT	Exception while decompiling EXTERNAL:0000003e: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000040	~basic_istream<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:00000040: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000041	operator>>	0	CONTEXT	Exception while decompiling EXTERNAL:00000041: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000042	operator>>	0	CONTEXT	Exception while decompiling EXTERNAL:00000042: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000047	exceptions	0	CONTEXT	Exception while decompiling EXTERNAL:00000047: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000049	good	0	CONTEXT	Exception while decompiling EXTERNAL:00000049: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000004a	always_noconv	0	CONTEXT	Exception while decompiling EXTERNAL:0000004a: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000004c	_Throw_Cpp_error	0	CONTEXT	Exception while decompiling EXTERNAL:0000004c: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000004d	_Mtx_lock	0	CONTEXT	Exception while decompiling EXTERNAL:0000004d: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000004e	_Mtx_unlock	0	CONTEXT	Exception while decompiling EXTERNAL:0000004e: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000051	flush	0	CONTEXT	Exception while decompiling EXTERNAL:00000051: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000052	_Osfx	0	CONTEXT	Exception while decompiling EXTERNAL:00000052: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000053	_Init	0	CONTEXT	Exception while decompiling EXTERNAL:00000053: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000054	basic_streambuf<char,std::char_traits<char>_>	0	CONTEXT	Exception while decompiling EXTERNAL:00000054: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000057	sputc	0	CONTEXT	Exception while decompiling EXTERNAL:00000057: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000005c	sputn	0	CONTEXT	Exception while decompiling EXTERNAL:0000005c: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000005e	getloc	0	CONTEXT	Exception while decompiling EXTERNAL:0000005e: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000066	_Fiopen	0	CONTEXT	Exception while decompiling EXTERNAL:00000066: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000069	_Xout_of_range	0	CONTEXT	Exception while decompiling EXTERNAL:00000069: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000006c	uncaught_exceptions	0	CONTEXT	Exception while decompiling EXTERNAL:0000006c: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000008a	_invalid_parameter_noinfo_noreturn	0	CONTEXT	Exception while decompiling EXTERNAL:0000008a: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000096	abort	0	CONTEXT	Exception while decompiling EXTERNAL:00000096: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000009b	fclose	0	CONTEXT	Exception while decompiling EXTERNAL:0000009b: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:000000a4	__stdio_common_vsnprintf_s	0	CONTEXT	Exception while decompiling EXTERNAL:000000a4: Cannot marshal address space: EXTERNAL 
