ADDRESS	NAME	NAMESPACE	SIZE	THUNK	EXTERNAL
180001010	FUN_180001010	Global	0x58	false	false
1800010b0	FUN_1800010b0	Global	0xb7	false	false
180001170	FUN_180001170	Global	0xb7	false	false
180001230	FUN_180001230	Global	0xb7	false	false
180001300	FUN_180001300	Global	0x33	false	false
180001360	FUN_180001360	Global	0x13	false	false
180001380	FUN_180001380	Global	0x43	false	false
1800013d0	FUN_1800013d0	Global	0x21	false	false
180001400	FUN_180001400	Global	0x1f	false	false
180001420	FUN_180001420	Global	0x3d	false	false
180001460	FUN_180001460	Global	0x3d	false	false
1800014a0	FUN_1800014a0	Global	0x3	false	false
1800014b0	FUN_1800014b0	Global	0x12	false	false
1800014d0	FUN_1800014d0	Global	0x6e	false	false
180001540	FUN_180001540	Global	0x3d	false	false
180001580	FUN_180001580	Global	0xb	false	false
180001590	FUN_180001590	Global	0x3f	false	false
1800015d0	FUN_1800015d0	Global	0x19	false	false
1800015f0	FUN_1800015f0	Global	0x15	false	false
180001610	FUN_180001610	Global	0x43	false	false
180001660	FUN_180001660	Global	0xe8	false	false
180001750	FUN_180001750	Global	0x36	false	false
180001790	FUN_180001790	Global	0x58	false	false
1800017f0	FUN_1800017f0	Global	0x4e	false	false
180001850	FUN_180001850	Global	0x8	false	false
180001860	FUN_180001860	Global	0x4e	false	false
1800018b0	FUN_1800018b0	Global	0x21	false	false
1800018e0	FUN_1800018e0	Global	0x8	false	false
1800018f0	FUN_1800018f0	Global	0x97	false	false
180001990	FUN_180001990	Global	0x73	false	false
180001a10	FUN_180001a10	Global	0x11	false	false
180001a30	FUN_180001a30	Global	0x38	false	false
180001a70	FUN_180001a70	Global	0xdf	false	false
180001b60	FUN_180001b60	Global	0x167	false	false
180001cd0	FUN_180001cd0	Global	0x10d	false	false
180001de0	FUN_180001de0	Global	0x2dc	false	false
1800020c0	FUN_1800020c0	Global	0x4c	false	false
180002110	FUN_180002110	Global	0x287	false	false
1800023a0	FUN_1800023a0	Global	0x61	false	false
180002410	FUN_180002410	Global	0x1f7	false	false
180002610	FUN_180002610	Global	0xb	false	false
180002620	FUN_180002620	Global	0x2b	false	false
180002650	FUN_180002650	Global	0x2c	false	false
180002680	GetBrowser	ClientHandler	0x32	false	false
1800026c0	GetRenderHandler	ClientHandler	0x3b	false	false
180002700	GetRequestHandler	ClientHandler	0x3b	false	false
180002740	GetJSDialogHandler	ClientHandler	0x3b	false	false
180002780	GetLifeSpanHandler	ClientHandler	0x3b	false	false
1800027c0	GetContextMenuHandler	ClientHandler	0x3b	false	false
180002800	AddRef	ClientHandler	0x5	false	false
180002810	Release	ClientHandler	0x47	false	false
180002860	HasOneRef	ClientHandler	0xa	false	false
180002870	HasAtLeastOneRef	ClientHandler	0x9	false	false
180002880	__autoclassinit2	CEFManager	0xa	false	false
180002890	`vbase_destructor'	ClientHandler	0x25	false	false
1800028c0	FUN_1800028c0	Global	0x25	false	false
1800028f0	FUN_1800028f0	Global	0x5	false	false
180002900	FUN_180002900	Global	0x44	false	false
