name	address	entry_rva	body_size	is_thunk
"FUN_180001010"	180001010	0x1010	119	false
"FUN_180001090"	180001090	0x1090	338	false
"FUN_1800011f0"	1800011f0	0x11f0	545	false
"FUN_180001420"	180001420	0x1420	119	false
"FUN_1800014b0"	1800014b0	0x14b0	51	false
"FUN_1800014f0"	1800014f0	0x14f0	19	false
"FUN_180001510"	180001510	0x1510	67	false
"FUN_180001580"	180001580	0x1580	33	false
"FUN_1800015b0"	1800015b0	0x15b0	31	false
"FUN_1800015d0"	1800015d0	0x15d0	61	false
"FUN_180001610"	180001610	0x1610	61	false
"FUN_180001650"	180001650	0x1650	18	false
"FUN_180001670"	180001670	0x1670	33	false
"FUN_1800016a0"	1800016a0	0x16a0	31	false
"FUN_1800016c0"	1800016c0	0x16c0	61	false
"FUN_180001700"	180001700	0x1700	47	false
"FUN_180001730"	180001730	0x1730	19	false
"FUN_180001750"	180001750	0x1750	97	false
"FUN_1800017c0"	1800017c0	0x17c0	91	false
"FUN_180001820"	180001820	0x1820	1931	false
"FUN_180001fb0"	180001fb0	0x1fb0	44	false
"PostLoad"	180001fe0	0x1fe0	83	false
"GetGlobalPtr"	180002040	0x2040	11	false
"FUN_180002050"	180002050	0x2050	87	false
"FUN_1800020b0"	1800020b0	0x20b0	300	false
"FUN_1800021e0"	1800021e0	0x21e0	397	false
"FUN_180002370"	180002370	0x2370	122	false
"FUN_1800023f0"	1800023f0	0x23f0	82	false
"FUN_180002450"	180002450	0x2450	503	false
"FUN_180002650"	180002650	0x2650	182	false
"FUN_180002710"	180002710	0x2710	94	false
"FUN_180002770"	180002770	0x2770	55	false
"FUN_1800027b0"	1800027b0	0x27b0	146	false
"FUN_180002850"	180002850	0x2850	52	false
"FUN_180002890"	180002890	0x2890	312	false
"FUN_1800029d0"	1800029d0	0x29d0	268	false
"FUN_180002ae0"	180002ae0	0x2ae0	459	false
"FUN_180002cc0"	180002cc0	0x2cc0	354	false
"FUN_180002e30"	180002e30	0x2e30	250	false
"FUN_180002f30"	180002f30	0x2f30	36	false
"FUN_180002f60"	180002f60	0x2f60	36	false
"FUN_180002fb0"	180002fb0	0x2fb0	377	false
"FUN_180003130"	180003130	0x3130	15	false
"FUN_180003140"	180003140	0x3140	5	false
"FUN_180003150"	180003150	0x3150	8	false
"FUN_180003160"	180003160	0x3160	31	false
"FUN_180003180"	180003180	0x3180	14	false
"FUN_180003190"	180003190	0x3190	18	false
"FUN_1800031a4"	1800031a4	0x31a4	12	false
"operator="	1800031b0	0x31b0	29	false
"operator="	1800031d0	0x31d0	448	false
"GetCurrentAnimDuration"	180003390	0x3390	4	false
"operator="	1800033a0	0x33a0	165	false
"operator="	180003450	0x3450	180	false
"SetMaxHitPoints"	180003510	0x3510	6	false
"mvrMoverComponent"	180003520	0x3520	34	false
"mvrMoverComponent"	180003550	0x3550	270	false
"operator="	180003660	0x3660	29	false
"operator="	180003680	0x3680	1421	false
"EnableMoverCollision"	180003c10	0x3c10	3	false
"GetPosition"	180003c20	0x3c20	21	false
"GetRotation"	180003c40	0x3c40	113	false
"gohObjectManager"	180003cc0	0x3cc0	14	false
"operator="	180003cd0	0x3cd0	4	false
"PostLoad"	180003ce0	0x3ce0	83	false
"GetObjectFromGuid"	180003d40	0x3d40	27	false
"FUN_180003d60"	180003d60	0x3d60	8	false
"FUN_180003d70"	180003d70	0x3d70	23	false
"FUN_180003d90"	180003d90	0x3d90	14	false
"PreLoad"	180003da0	0x3da0	83	false
"FUN_180003e00"	180003e00	0x3e00	8	false
"FUN_180003e10"	180003e10	0x3e10	34	false
"FUN_180003e40"	180003e40	0x3e40	14	false
"PreLoad"	180003e50	0x3e50	156	false
"DisableCursorAlteration"	180003ef0	0x3ef0	15	false
"UnlockAndShowCursor"	180003f00	0x3f00	7	false
"FUN_180003f10"	180003f10	0x3f10	8	false
"FUN_180003f20"	180003f20	0x3f20	12	false
"FUN_180003f30"	180003f30	0x3f30	14	false
"FUN_180003f40"	180003f40	0x3f40	8	false
"FUN_180003f50"	180003f50	0x3f50	23	false
"FUN_180003f70"	180003f70	0x3f70	14	false
"PreLoad"	180003f80	0x3f80	83	false
"GetGameState"	180003fe0	0x3fe0	18	false
"FUN_180004000"	180004000	0x4000	8	false
"FUN_180004010"	180004010	0x4010	23	false
"FUN_180004030"	180004030	0x4030	14	false
"PreLoad"	180004040	0x4040	83	false
"GetFrameCount"	1800040a0	0x40a0	16	false
"FUN_1800040b0"	1800040b0	0x40b0	8	false
"FUN_1800040c0"	1800040c0	0x40c0	23	false
"FUN_1800040e0"	1800040e0	0x40e0	14	false
"scrThread"	1800040f0	0x40f0	14	false
"PostLoad"	180004100	0x4100	300	false
"KeyDown"	180004230	0x4230	16	false
"KeyPressed"	180004240	0x4240	16	false
"KeyReleased"	180004250	0x4250	16	false
"FUN_180004260"	180004260	0x4260	49	false
"FUN_1800042a0"	1800042a0	0x42a0	49	false
"FUN_1800042e0"	1800042e0	0x42e0	49	false
"FID_conflict:~vector<CHN*___ptr64,std::allocator<CHN*___ptr64>_>"	180004320	0x4320	91	false
"FUN_180004380"	180004380	0x4380	109	false
"ClearCallbacks"	1800043f0	0x43f0	12	false
"ExecuteCallback"	180004400	0x4400	138	false
"RegisterCallback"	180004490	0x4490	25	false
"FUN_1800044b0"	1800044b0	0x44b0	274	false
"FUN_1800045d0"	1800045d0	0x45d0	195	false
"FUN_1800046a0"	1800046a0	0x46a0	317	false
"FUN_1800047e0"	1800047e0	0x47e0	506	false
"FUN_1800049e0"	1800049e0	0x49e0	685	false
"FUN_180004c90"	180004c90	0x4c90	639	false
"FUN_180004f10"	180004f10	0x4f10	132	false
"FUN_180004fa0"	180004fa0	0x4fa0	57	false
"FUN_180004fe0"	180004fe0	0x4fe0	170	false
"FUN_1800050b0"	1800050b0	0x50b0	680	false
"FUN_180005360"	180005360	0x5360	225	false
"FUN_180005450"	180005450	0x5450	8	false
"FUN_180005460"	180005460	0x5460	23	false
"FUN_180005480"	180005480	0x5480	14	false
"FUN_180005490"	180005490	0x5490	8	false
"FUN_1800054a0"	1800054a0	0x54a0	23	false
"FUN_1800054c0"	1800054c0	0x54c0	14	false
"FUN_1800054d0"	1800054d0	0x54d0	8	false
"FUN_1800054e0"	1800054e0	0x54e0	23	false
"FUN_180005500"	180005500	0x5500	14	false
"FUN_180005510"	180005510	0x5510	136	false
"FUN_1800055a0"	1800055a0	0x55a0	61	false
"FUN_1800055e0"	1800055e0	0x55e0	11	false
