from	from_addr	to	to_addr	type
"PostLoad"	180008070	"FUN_180001820"	180001820	CALL
"PostLoad"	180008070	"FUN_18000d8f4"	18000d8f4	CALL
"PostLoad"	180008070	"FUN_18000d740"	18000d740	CALL
"PostLoad"	180008070	"FUN_18000d8e8"	18000d8e8	CALL
"n_Wait"	1800071e0	"FUN_180008a40"	180008a40	CALL
"n_Wait"	1800071e0	"FUN_180002e30"	180002e30	CALL
"n_Wait"	1800071e0	"FUN_180005360"	180005360	CALL
"n_Wait"	1800071e0	"FUN_180004c90"	180004c90	CALL
"n_Wait"	1800071e0	"FUN_18000f264"	18000f264	CALL
"n_Wait"	1800071e0	"memchr"	1800100f3	CALL
"n_Wait"	1800071e0	"__security_check_cookie"	18000ee90	CALL
"ClearCallbacks"	1800043f0	"FUN_1800045d0"	1800045d0	CALL
"ExecuteCallback"	180004400	"FUN_180005360"	180005360	CALL
"ExecuteCallback"	180004400	"FUN_180004c90"	180004c90	CALL
"RegisterCallback"	180004490	"FUN_1800049e0"	1800049e0	CALL
"n_QuitGame"	1800077d0	"FUN_180002e30"	180002e30	CALL
"n_QuitGame"	1800077d0	"FUN_180005360"	180005360	CALL
"n_QuitGame"	1800077d0	"FUN_180004c90"	180004c90	CALL
"n_QuitGame"	1800077d0	"FUN_18000f264"	18000f264	CALL
"PostLoad"	180001fe0	"FUN_180001820"	180001820	CALL
"PostLoad"	180003ce0	"FUN_180001820"	180001820	CALL
"PreLoad"	180003da0	"FUN_180001820"	180001820	CALL
"PreLoad"	180003e50	"FUN_180001820"	180001820	CALL
"PreLoad"	180003f80	"FUN_180001820"	180001820	CALL
"PreLoad"	180004040	"FUN_180001820"	180001820	CALL
"PostLoad"	180004100	"FUN_180001820"	180001820	CALL
"PostLoad"	18000b630	"FUN_180001820"	180001820	CALL
"PreLoad"	18000b6f0	"FUN_180001820"	180001820	CALL
"PostLoad"	18000be90	"FUN_180001820"	180001820	CALL
"PostLoad"	18000c060	"FUN_180001820"	180001820	CALL
"FUN_180001820"	180001820	"memset"	18001000a	CALL
"FUN_180001820"	180001820	"FUN_180002e30"	180002e30	CALL
"FUN_180001820"	180001820	"FUN_18000eeb0"	18000eeb0	CALL
"FUN_180001820"	180001820	"FUN_180002ae0"	180002ae0	CALL
"FUN_180001820"	180001820	"FUN_180002fb0"	180002fb0	CALL
"FUN_180001820"	180001820	"FUN_180002890"	180002890	CALL
"FUN_180001820"	180001820	"FUN_180002650"	180002650	CALL
"FUN_180001820"	180001820	"FUN_18000f264"	18000f264	CALL
"FUN_180001820"	180001820	"__security_check_cookie"	18000ee90	CALL
"PostLoad"	180001fe0	"FUN_180001820"	180001820	CALLER
"PostLoad"	180003ce0	"FUN_180001820"	180001820	CALLER
"PreLoad"	180003da0	"FUN_180001820"	180001820	CALLER
"PreLoad"	180003e50	"FUN_180001820"	180001820	CALLER
"PreLoad"	180003e50	"FUN_180001820"	180001820	CALLER
