ADDRESS	NAME	NAMESPACE	SIZE	THUNK	EXTERNAL
180001010	FUN_180001010	Global	0x77	false	false
180001090	FUN_180001090	Global	0x152	false	false
1800011f0	FUN_1800011f0	Global	0x221	false	false
180001420	FUN_180001420	Global	0x77	false	false
1800014b0	FUN_1800014b0	Global	0x33	false	false
1800014f0	FUN_1800014f0	Global	0x13	false	false
180001510	FUN_180001510	Global	0x43	false	false
180001580	FUN_180001580	Global	0x21	false	false
1800015b0	FUN_1800015b0	Global	0x1f	false	false
1800015d0	FUN_1800015d0	Global	0x3d	false	false
180001610	FUN_180001610	Global	0x3d	false	false
180001650	FUN_180001650	Global	0x12	false	false
180001670	FUN_180001670	Global	0x21	false	false
1800016a0	FUN_1800016a0	Global	0x1f	false	false
1800016c0	FUN_1800016c0	Global	0x3d	false	false
180001700	FUN_180001700	Global	0x2f	false	false
180001730	FUN_180001730	Global	0x13	false	false
180001750	FUN_180001750	Global	0x61	false	false
1800017c0	FUN_1800017c0	Global	0x5b	false	false
180001820	FUN_180001820	Global	0x78b	false	false
180001fb0	FUN_180001fb0	Global	0x2c	false	false
180001fe0	PostLoad	rage::globalBase	0x53	false	false
180002040	GetGlobalPtr	rage::globalBase	0xb	false	false
180002050	FUN_180002050	Global	0x57	false	false
1800020b0	FUN_1800020b0	Global	0x12c	false	false
1800021e0	FUN_1800021e0	Global	0x18d	false	false
180002370	FUN_180002370	Global	0x7a	false	false
1800023f0	FUN_1800023f0	Global	0x52	false	false
180002450	FUN_180002450	Global	0x1f7	false	false
180002650	FUN_180002650	Global	0xb6	false	false
180002710	FUN_180002710	Global	0x5e	false	false
180002770	FUN_180002770	Global	0x37	false	false
1800027b0	FUN_1800027b0	Global	0x92	false	false
180002850	FUN_180002850	Global	0x34	false	false
180002890	FUN_180002890	Global	0x138	false	false
1800029d0	FUN_1800029d0	Global	0x10c	false	false
180002ae0	FUN_180002ae0	Global	0x1cb	false	false
180002cc0	FUN_180002cc0	Global	0x162	false	false
180002e30	FUN_180002e30	Global	0xfa	false	false
180002f30	FUN_180002f30	Global	0x24	false	false
180002f60	FUN_180002f60	Global	0x24	false	false
180002fb0	FUN_180002fb0	Global	0x179	false	false
180003130	FUN_180003130	Global	0xf	false	false
180003140	FUN_180003140	Global	0x5	false	false
180003150	FUN_180003150	Global	0x8	false	false
180003160	FUN_180003160	Global	0x1f	false	false
180003180	FUN_180003180	Global	0xe	false	false
180003190	FUN_180003190	Global	0x12	false	false
1800031a4	FUN_1800031a4	Global	0xc	false	false
1800031b0	operator=	rage::animAnimatorComponent	0x1d	false	false
1800031d0	operator=	rage::animAnimatorComponent	0x1c0	false	false
180003390	GetCurrentAnimDuration	rage::animAnimatorComponent	0x4	false	false
1800033a0	operator=	rage::hlthHealthComponent	0xa5	false	false
180003450	operator=	rage::hlthHealthComponent	0xb4	false	false
180003510	SetMaxHitPoints	rage::hlthHealthComponent	0x6	false	false
180003520	mvrMoverComponent	rage::mvrMoverComponent	0x22	false	false
180003550	mvrMoverComponent	rage::mvrMoverComponent	0x10e	false	false
180003660	operator=	rage::mvrMoverComponent	0x1d	false	false
180003680	operator=	rage::mvrMoverComponent	0x58d	false	false
180003c10	EnableMoverCollision	rage::mvrMoverComponent	0x3	false	false
180003c20	GetPosition	rage::mvrMoverComponent	0x15	false	false
180003c40	GetRotation	rage::mvrMoverComponent	0x71	false	false
180003cc0	gohObjectManager	rage::gohObjectManager	0xe	false	false
180003cd0	operator=	StaticCallbacksHandler<rage::scrThread>	0x4	false	false
180003ce0	PostLoad	rage::gohObjectManager	0x53	false	false
180003d40	GetObjectFromGuid	rage::gohObjectManager	0x1b	false	false
180003d60	FUN_180003d60	Global	0x8	false	false
180003d70	FUN_180003d70	Global	0x17	false	false
180003d90	FUN_180003d90	Global	0xe	false	false
180003da0	PreLoad	Patches	0x53	false	false
180003e00	FUN_180003e00	Global	0x8	false	false
180003e10	FUN_180003e10	Global	0x22	false	false
180003e40	FUN_180003e40	Global	0xe	false	false
180003e50	PreLoad	rage::ioMouse	0x9c	false	false
180003ef0	DisableCursorAlteration	rage::ioMouse	0xf	false	false
180003f00	UnlockAndShowCursor	rage::ioMouse	0x7	false	false
180003f10	FUN_180003f10	Global	0x8	false	false
180003f20	FUN_180003f20	Global	0xc	false	false
180003f30	FUN_180003f30	Global	0xe	false	false
180003f40	FUN_180003f40	Global	0x8	false	false
180003f50	FUN_180003f50	Global	0x17	false	false
180003f70	FUN_180003f70	Global	0xe	false	false
180003f80	PreLoad	rdr2scripting::game	0x53	false	false
180003fe0	GetGameState	rdr2scripting::game	0x12	false	false
180004000	FUN_180004000	Global	0x8	false	false
180004010	FUN_180004010	Global	0x17	false	false
180004030	FUN_180004030	Global	0xe	false	false
180004040	PreLoad	rage::grcDevice	0x53	false	false
1800040a0	GetFrameCount	rage::grcDevice	0x10	false	false
1800040b0	FUN_1800040b0	Global	0x8	false	false
1800040c0	FUN_1800040c0	Global	0x17	false	false
1800040e0	FUN_1800040e0	Global	0xe	false	false
1800040f0	scrThread	rage::scrThread	0xe	false	false
180004100	PostLoad	rage::ioKeyboard	0x12c	false	false
180004230	KeyDown	rage::ioKeyboard	0x10	false	false
180004240	KeyPressed	rage::ioKeyboard	0x10	false	false
180004250	KeyReleased	rage::ioKeyboard	0x10	false	false
180004260	FUN_180004260	Global	0x31	false	false
1800042a0	FUN_1800042a0	Global	0x31	false	false
1800042e0	FUN_1800042e0	Global	0x31	false	false
180004320	FID_conflict:~vector<CHN*___ptr64,std::allocator<CHN*___ptr64>_>	Global	0x5b	false	false
180004380	FUN_180004380	Global	0x6d	false	false
1800043f0	ClearCallbacks	StaticCallbacksHandler<rage::scrThread>	0xc	false	false
180004400	ExecuteCallback	StaticCallbacksHandler<rage::scrThread>	0x8a	false	false
180004490	RegisterCallback	StaticCallbacksHandler<rage::scrThread>	0x19	false	false
1800044b0	FUN_1800044b0	Global	0x112	false	false
1800045d0	FUN_1800045d0	Global	0xc3	false	false
1800046a0	FUN_1800046a0	Global	0x13d	false	false
1800047e0	FUN_1800047e0	Global	0x1fa	false	false
1800049e0	FUN_1800049e0	Global	0x2ad	false	false
180004c90	FUN_180004c90	Global	0x27f	false	false
180004f10	FUN_180004f10	Global	0x84	false	false
180004fa0	FUN_180004fa0	Global	0x39	false	false
180004fe0	FUN_180004fe0	Global	0xaa	false	false
1800050b0	FUN_1800050b0	Global	0x2a8	false	false
180005360	FUN_180005360	Global	0xe1	false	false
180005450	FUN_180005450	Global	0x8	false	false
180005460	FUN_180005460	Global	0x17	false	false
180005480	FUN_180005480	Global	0xe	false	false
180005490	FUN_180005490	Global	0x8	false	false
1800054a0	FUN_1800054a0	Global	0x17	false	false
1800054c0	FUN_1800054c0	Global	0xe	false	false
1800054d0	FUN_1800054d0	Global	0x8	false	false
1800054e0	FUN_1800054e0	Global	0x17	false	false
180005500	FUN_180005500	Global	0xe	false	false
180005510	FUN_180005510	Global	0x88	false	false
1800055a0	FUN_1800055a0	Global	0x3d	false	false
1800055e0	FUN_1800055e0	Global	0xb	false	false
1800055f0	FUN_1800055f0	Global	0x3f	false	false
180005630	FUN_180005630	Global	0x19	false	false
180005650	FUN_180005650	Global	0x15	false	false
180005670	FUN_180005670	Global	0x152	false	false
1800057d0	FUN_1800057d0	Global	0x43	false	false
180005820	FUN_180005820	Global	0xe8	false	false
180005910	FUN_180005910	Global	0x36	false	false
180005950	FUN_180005950	Global	0x58	false	false
1800059b0	FUN_1800059b0	Global	0x4e	false	false
180005a10	FUN_180005a10	Global	0x8	false	false
180005a20	FUN_180005a20	Global	0x4e	false	false
180005a70	FUN_180005a70	Global	0x21	false	false
180005aa0	FUN_180005aa0	Global	0x8	false	false
180005ab0	FUN_180005ab0	Global	0x97	false	false
180005b50	FUN_180005b50	Global	0x73	false	false
180005bd0	FUN_180005bd0	Global	0x11	false	false
180005bf0	FUN_180005bf0	Global	0x38	false	false
