TYPE	RVA	ADDRESS	NAME	PRIORITY	SIGNATURE
STRING,API	0x1820	180001820	FUN_180001820	160	undefined FUN_180001820(undefined8 * param_1, longlong * param_2, longlong param_3)
STRING,NAME	0x8070	180008070	PostLoad	155	void PostLoad(scrThread * this)
STRING	0x1090	180001090	FUN_180001090	100	undefined FUN_180001090(void)
STRING	0x11F0	1800011f0	FUN_1800011f0	100	undefined FUN_1800011f0(void)
STRING	0x8740	180008740	GetCommand	100	_func_void_InfoBase_ptr * GetCommand(uint param_1)
STRING	0x8A40	180008a40	FUN_180008a40	100	undefined8 FUN_180008a40(void)
STRING	0x8C10	180008c10	FUN_180008c10	100	undefined8 FUN_180008c10(void)
STRING	0xC490	18000c490	FUN_18000c490	100	undefined4 FUN_18000c490(undefined8 param_1)
API,NAME	0xEE24	18000ee24	__std_fs_open_handle	100	DWORD __std_fs_open_handle(undefined8 * param_1, LPCWSTR param_2, DWORD param_3, DWORD param_4)
API	0x2AE0	180002ae0	FUN_180002ae0	60	basic_istream<char,std::char_traits<char>_> * FUN_180002ae0(basic_istream<char,std::char_traits<char>_> * param_1, longlong * param_2, undefined8 param_3)
API	0x6DB0	180006db0	FUN_180006db0	60	uint * FUN_180006db0(uint * param_1)
API	0xB750	18000b750	DisableAllInputs	60	void DisableAllInputs(bool param_1)
API	0xD2F8	18000d2f8	FUN_18000d2f8	60	undefined8 FUN_18000d2f8(ulonglong param_1, int param_2)
API	0xD44C	18000d44c	FUN_18000d44c	60	undefined FUN_18000d44c(longlong * param_1, uint param_2, int param_3)
API	0xDA28	18000da28	FUN_18000da28	60	undefined FUN_18000da28(longlong * param_1)
API	0xDB2C	18000db2c	FUN_18000db2c	60	undefined8 * FUN_18000db2c(undefined8 * param_1)
API	0xE8C4	18000e8c4	__std_fs_convert_narrow_to_wide	60	undefined8 __std_fs_convert_narrow_to_wide(UINT param_1, LPCSTR param_2, int param_3, LPWSTR param_4, int param_5)
API	0xE90C	18000e90c	__std_fs_convert_wide_to_narrow	60	undefined8 __std_fs_convert_wide_to_narrow(UINT param_1, LPCWSTR param_2, int param_3, LPSTR param_4, int param_5)
API	0xEA30	18000ea30	FUN_18000ea30	60	undefined8 FUN_18000ea30(UINT param_1, LPCWSTR param_2, int param_3, LPSTR param_4, int param_5)
API	0xEAFC	18000eafc	FUN_18000eafc	60	DWORD FUN_18000eafc(LPCWSTR param_1, ulonglong * param_2, uint param_3, uint param_4)
API	0x10294	180010294	FUN_180010294	60	undefined8 FUN_180010294(undefined8 param_1, longlong param_2)
NAME	0x1FE0	180001fe0	PostLoad	55	void PostLoad(globalBase * this)
NAME	0x3CE0	180003ce0	PostLoad	55	void PostLoad(gohObjectManager * this)
NAME	0x3DA0	180003da0	PreLoad	55	void PreLoad(Patches * this)
NAME	0x3E50	180003e50	PreLoad	55	void PreLoad(ioMouse * this)
NAME	0x3F80	180003f80	PreLoad	55	void PreLoad(game * this)
NAME	0x4040	180004040	PreLoad	55	void PreLoad(grcDevice * this)
NAME	0x4100	180004100	PostLoad	55	void PostLoad(ioKeyboard * this)
NAME	0x85D0	1800085d0	Unload	55	void Unload(scrThread * this)
NAME	0xB630	18000b630	PostLoad	55	void PostLoad(sagActorManager * this)
NAME	0xB6F0	18000b6f0	PreLoad	55	void PreLoad(UIInput * this)
NAME	0xBE90	18000be90	PostLoad	55	void PostLoad(sagPlayerMgr * this)
NAME	0xC060	18000c060	PostLoad	55	void PostLoad(UIStringTable * this)
CONTEXT	unknown	EXTERNAL:00000007	GetModuleFileNameA	15	DWORD GetModuleFileNameA(HMODULE hModule, LPSTR lpFilename, DWORD nSize)
CONTEXT	unknown	EXTERNAL:0000001e	CreateFileW	15	HANDLE CreateFileW(LPCWSTR lpFileName, DWORD dwDesiredAccess, DWORD dwShareMode, LPSECURITY_ATTRIBUTES lpSecurityAttributes, DWORD dwCreationDisposition, DWORD dwFlagsAndAttributes, HANDLE hTemplateFile)
CONTEXT	unknown	EXTERNAL:00000022	FindFirstFileW	15	HANDLE FindFirstFileW(LPCWSTR lpFileName, LPWIN32_FIND_DATAW lpFindFileData)
CONTEXT	unknown	EXTERNAL:0000002f	GetFileAttributesExW	15	BOOL GetFileAttributesExW(LPCWSTR lpFileName, GET_FILEEX_INFO_LEVELS fInfoLevelId, LPVOID lpFileInformation)
CONTEXT	unknown	EXTERNAL:00000033	GetFileInformationByHandleEx	15	BOOL GetFileInformationByHandleEx(HANDLE hFile, FILE_INFO_BY_HANDLE_CLASS FileInformationClass, LPVOID lpFileInformation, DWORD dwBufferSize)
CONTEXT	unknown	EXTERNAL:00000001	Print	0	void Print(LogType param_1, char * param_2, char * param_3, ...)
CONTEXT	unknown	EXTERNAL:00000004	GetCurrentProcess	0	HANDLE GetCurrentProcess(void)
CONTEXT	unknown	EXTERNAL:00000005	K32GetModuleInformation	0	undefined K32GetModuleInformation(void)
CONTEXT	unknown	EXTERNAL:00000006	GetModuleHandleW	0	HMODULE GetModuleHandleW(LPCWSTR lpModuleName)
CONTEXT	unknown	EXTERNAL:00000008	Sleep	0	void Sleep(DWORD dwMilliseconds)
CONTEXT	unknown	EXTERNAL:00000009	VirtualProtect	0	BOOL VirtualProtect(LPVOID lpAddress, SIZE_T dwSize, DWORD flNewProtect, PDWORD lpflOldProtect)
CONTEXT	unknown	EXTERNAL:0000000a	CloseHandle	0	BOOL CloseHandle(HANDLE hObject)
CONTEXT	unknown	EXTERNAL:0000000c	HeapAlloc	0	LPVOID HeapAlloc(HANDLE hHeap, DWORD dwFlags, SIZE_T dwBytes)
CONTEXT	unknown	EXTERNAL:0000000d	HeapReAlloc	0	LPVOID HeapReAlloc(HANDLE hHeap, DWORD dwFlags, LPVOID lpMem, SIZE_T dwBytes)
CONTEXT	unknown	EXTERNAL:0000000e	HeapFree	0	BOOL HeapFree(HANDLE hHeap, DWORD dwFlags, LPVOID lpMem)
CONTEXT	unknown	EXTERNAL:0000000f	GetCurrentProcessId	0	DWORD GetCurrentProcessId(void)
CONTEXT	unknown	EXTERNAL:00000010	GetCurrentThreadId	0	DWORD GetCurrentThreadId(void)
CONTEXT	unknown	EXTERNAL:00000011	OpenThread	0	HANDLE OpenThread(DWORD dwDesiredAccess, BOOL bInheritHandle, DWORD dwThreadId)
CONTEXT	unknown	EXTERNAL:00000012	SuspendThread	0	DWORD SuspendThread(HANDLE hThread)
CONTEXT	unknown	EXTERNAL:00000013	ResumeThread	0	DWORD ResumeThread(HANDLE hThread)
CONTEXT	unknown	EXTERNAL:00000014	GetThreadContext	0	BOOL GetThreadContext(HANDLE hThread, LPCONTEXT lpContext)
CONTEXT	unknown	EXTERNAL:00000015	SetThreadContext	0	BOOL SetThreadContext(HANDLE hThread, CONTEXT * lpContext)
CONTEXT	unknown	EXTERNAL:00000016	FlushInstructionCache	0	BOOL FlushInstructionCache(HANDLE hProcess, LPCVOID lpBaseAddress, SIZE_T dwSize)
CONTEXT	unknown	EXTERNAL:0000001a	GetSystemInfo	0	void GetSystemInfo(LPSYSTEM_INFO lpSystemInfo)
CONTEXT	unknown	EXTERNAL:0000001b	VirtualAlloc	0	LPVOID VirtualAlloc(LPVOID lpAddress, SIZE_T dwSize, DWORD flAllocationType, DWORD flProtect)
CONTEXT	unknown	EXTERNAL:0000001d	VirtualQuery	0	SIZE_T VirtualQuery(LPCVOID lpAddress, PMEMORY_BASIC_INFORMATION lpBuffer, SIZE_T dwLength)
CONTEXT	unknown	EXTERNAL:00000031	GetLastError	0	DWORD GetLastError(void)
CONTEXT	unknown	EXTERNAL:00000032	FindClose	0	BOOL FindClose(HANDLE hFindFile)
CONTEXT	unknown	EXTERNAL:00000034	MultiByteToWideChar	0	int MultiByteToWideChar(UINT CodePage, DWORD dwFlags, LPCSTR lpMultiByteStr, int cbMultiByte, LPWSTR lpWideCharStr, int cchWideChar)
CONTEXT	unknown	EXTERNAL:00000035	WideCharToMultiByte	0	int WideCharToMultiByte(UINT CodePage, DWORD dwFlags, LPCWSTR lpWideCharStr, int cchWideChar, LPSTR lpMultiByteStr, int cbMultiByte, LPCSTR lpDefaultChar, LPBOOL lpUsedDefaultChar)
CONTEXT	unknown	EXTERNAL:0000003b	operator_bool	0	bool operator_bool(ios_base * this)
CONTEXT	unknown	EXTERNAL:0000003c	getloc	0	locale getloc(ios_base * this)
CONTEXT	unknown	EXTERNAL:0000003d	operator>>	0	basic_istream<char,struct_std::char_traits<char>_> * operator>>(basic_istream<char,std::char_traits<char>_> * this, uint * param_1)
CONTEXT	unknown	EXTERNAL:0000003e	operator>>	0	basic_istream<char,struct_std::char_traits<char>_> * operator>>(basic_istream<char,std::char_traits<char>_> * this, _func_ios_base_ptr_ios_base_ptr * param_1)
CONTEXT	unknown	EXTERNAL:0000003f	~basic_istream<char,std::char_traits<char>_>	0	void ~basic_istream<char,std::char_traits<char>_>(basic_istream<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000040	~basic_ios<char,std::char_traits<char>_>	0	void ~basic_ios<char,std::char_traits<char>_>(basic_ios<char,std::char_traits<char>_> * this)
