STATUS	RVA	ADDRESS	NAME	PRIORITY	SEED_TYPE	ERROR
OK	0x1820	180001820	FUN_180001820	160	STRING,API	
OK	0x8070	180008070	PostLoad	155	STRING,NAME	
OK	0x1090	180001090	FUN_180001090	100	STRING	
OK	0x11F0	1800011f0	FUN_1800011f0	100	STRING	
OK	0x8740	180008740	GetCommand	100	STRING	
OK	0x8A40	180008a40	FUN_180008a40	100	STRING	
OK	0x8C10	180008c10	FUN_180008c10	100	STRING	
OK	0xC490	18000c490	FUN_18000c490	100	STRING	
OK	0xEE24	18000ee24	__std_fs_open_handle	100	API,NAME	
OK	0x2AE0	180002ae0	FUN_180002ae0	60	API	
OK	0x6DB0	180006db0	FUN_180006db0	60	API	
OK	0xB750	18000b750	DisableAllInputs	60	API	
OK	0xD2F8	18000d2f8	FUN_18000d2f8	60	API	
OK	0xD44C	18000d44c	FUN_18000d44c	60	API	
OK	0xDA28	18000da28	FUN_18000da28	60	API	
OK	0xDB2C	18000db2c	FUN_18000db2c	60	API	
OK	0xE8C4	18000e8c4	__std_fs_convert_narrow_to_wide	60	API	
OK	0xE90C	18000e90c	__std_fs_convert_wide_to_narrow	60	API	
OK	0xEA30	18000ea30	FUN_18000ea30	60	API	
OK	0xEAFC	18000eafc	FUN_18000eafc	60	API	
OK	0x10294	180010294	FUN_180010294	60	API	
OK	0x1FE0	180001fe0	PostLoad	55	NAME	
OK	0x3CE0	180003ce0	PostLoad	55	NAME	
OK	0x3DA0	180003da0	PreLoad	55	NAME	
OK	0x3E50	180003e50	PreLoad	55	NAME	
OK	0x3F80	180003f80	PreLoad	55	NAME	
OK	0x4040	180004040	PreLoad	55	NAME	
OK	0x4100	180004100	PostLoad	55	NAME	
OK	0x85D0	1800085d0	Unload	55	NAME	
OK	0xB630	18000b630	PostLoad	55	NAME	
OK	0xB6F0	18000b6f0	PreLoad	55	NAME	
OK	0xBE90	18000be90	PostLoad	55	NAME	
OK	0xC060	18000c060	PostLoad	55	NAME	
FAILED	unknown	EXTERNAL:00000007	GetModuleFileNameA	15	CONTEXT	Exception while decompiling EXTERNAL:00000007: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000001e	CreateFileW	15	CONTEXT	Exception while decompiling EXTERNAL:0000001e: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000022	FindFirstFileW	15	CONTEXT	Exception while decompiling EXTERNAL:00000022: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000002f	GetFileAttributesExW	15	CONTEXT	Exception while decompiling EXTERNAL:0000002f: Cannot marshal address space: EXTERNAL 
